,Type,Name,Statement,Where,Date,Link
23,false,Bloggers,"""Documents were published confirming Moderna created the COVID-19 Virus.”",article,"March 14, 2022",https://www.politifact.com/factchecks/2022/mar/24/blog-posting/no-study-doesnt-prove-moderna-created-covid-19/
24,false,Facebook posts,A man was arrested “for wearing a T-shirt that says ‘We The People’ and has a picture of the ‘Statue of Liberty.’”,Facebook post,"March 16, 2022",https://www.politifact.com/factchecks/2022/mar/24/facebook-posts/no-man-wasnt-arrested-wearing-shirt-said-we-people/
25,false,Facebook posts,News networks covered Brett Kavanaugh’s confirmation hearing live but not Ketanji Brown Jackson’s hearing.,Facebook post,"March 22, 2022",https://www.politifact.com/factchecks/2022/mar/24/facebook-posts/comparing-news-coverage-confirmation-hearings-keta/
26,false,Facebook posts,“There was a raid on the Biden residence yesterday by the military!”,Facebook post,"March 21, 2022",https://www.politifact.com/factchecks/2022/mar/24/facebook-posts/no-military-didnt-raid-biden-residence/
27,false,Tweets,"Virginia Tech swimmer Reka Gyorgy tweeted, “My finals spot was stolen by Lia Thomas, who is a biological male.”",tweet from hoax account,"March 20, 2022",https://www.politifact.com/factchecks/2022/mar/24/tweets/no-virginia-tech-swimmer-did-not-tweet-her-finals-/
28,false,Viral image,Joe Biden’s announcement that the Justice Department will name a chief prosecutor for pandemic fraud means “the government is going to investigate itself.”,Facebook post,"March 20, 2022",https://www.politifact.com/factchecks/2022/mar/23/viral-image/no-doj-didnt-name-prosecutor-investigate-federal-f/
29,false,Bloggers,"The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events"" listed in a confidential report.",video,"March 1, 2022",https://www.politifact.com/factchecks/2022/mar/23/blog-posting/fact-checking-false-claims-pfizers-covid-19-vaccin/
30,false,Tweets,Video shows the final moments aboard China Eastern Airlines flight 5735 before it crashed.,tweet,"March 21, 2022",https://www.politifact.com/factchecks/2022/mar/23/tweets/web-hed-no-video-doesnt-show-china-eastern-airline/
31,false,Facebook posts,Video shows “Russian soldiers using weapons that have been in a cupboard since Soviet times.”,Facebook post,"March 13, 2022",https://www.politifact.com/factchecks/2022/mar/23/facebook-posts/video-appears-show-kenyan-soldiers-not-russians/
32,false,Marsha Blackburn,"Ketanji Brown Jackson ""gave a lecture talking about critical race theory as one of the components to consider when you are making decisions on the bench.""",interview,"March 22, 2022",https://www.politifact.com/factchecks/2022/mar/22/marsha-blackburn/tenn-sen-marsha-blackburn-wrong-about-ketanji-brow/
33,false,Facebook posts,"Biden ""wants to buy lithium from China for electric cars.""",Facebook post,"March 14, 2022",https://www.politifact.com/factchecks/2022/mar/22/facebook-posts/biden-administration-trying-buy-less-lithium-china/
34,false,Facebook posts,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,Facebook post,"March 20, 2022",https://www.politifact.com/factchecks/2022/mar/22/facebook-posts/no-evidence-support-claims-ukraine-killing-people-/
35,false,Facebook posts,Photos show “Ukrainian farmers are slowly starting to build their own army.”,Facebook post,"March 16, 2022",https://www.politifact.com/factchecks/2022/mar/21/facebook-posts/facebook-post-uses-edited-images-ukrainian-farmers/
36,false,Facebook posts,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,public Facebook post,"March 2, 2022",https://www.politifact.com/factchecks/2022/mar/18/facebook-posts/there-no-evidence-putin-invaded-ukraine-fight-chil/
37,false,Facebook posts,"A photo shows ""NATO resupplying Ukrainian farmers anti-tank supplies.""",Facebook post,"March 10, 2022",https://www.politifact.com/factchecks/2022/mar/18/facebook-posts/viral-image-helicopter-lifting-tractor-does-not-sh/
38,false,Facebook posts,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",Facebook post,"March 14, 2022",https://www.politifact.com/factchecks/2022/mar/18/facebook-posts/facebook-post-rehashes-false-claim-hillary-clinton/
39,false,Facebook posts,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",Facebook post,"March 15, 2022",https://www.politifact.com/factchecks/2022/mar/17/facebook-posts/news-and-other-programs-are-broadcast-live-russian/
40,false,Facebook posts,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,video,"March 15, 2022",https://www.politifact.com/factchecks/2022/mar/17/facebook-posts/video-not-current-its-footage-2014-and-2015/
41,false,Herschel Walker,The presence of apes calls into question the concept of evolution.,appearance at church,"March 13, 2022",https://www.politifact.com/factchecks/2022/mar/17/herschel-walker/yes-evolution-proves-humans-and-apes-can-coexist/
42,false,Facebook posts,Comparing the price of oil and gas in June 2008 to March 2022 shows that oil companies are “price gouging.”,Facebook post,"March 14, 2022",https://www.politifact.com/factchecks/2022/mar/17/facebook-posts/persistent-high-gas-prices-dont-prove-price-gougin/
43,false,Pam Helming,"""Almost half of every dollar that we spend on gas, it goes to New York State.""",radio interview,"March 8, 2022",https://www.politifact.com/factchecks/2022/mar/17/pam-helming/no-new-yorkers-are-not-taxed-almost-half-every-dol/
44,false,Facebook posts,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,Facebook post,"March 13, 2022",https://www.politifact.com/factchecks/2022/mar/17/facebook-posts/news-video-shot-car-was-filmed-ukraine-not-west-vi/
45,false,Kari Lake,Jan. 6 defendants “are being held in prison without being charged.”,interview with 60 Minutes Australia,"March 13, 2022",https://www.politifact.com/factchecks/2022/mar/17/kari-lake/arizona-gop-candidate-kari-lake-wrongly-says-jan-6/
46,false,The Charlie Kirk Show,"""Beto O'Rourke's Plan to Take 'Trans' Children from Parents.""",video,"March 13, 2022",https://www.politifact.com/factchecks/2022/mar/16/charlie-kirk-show/video-clip-beto-orourke-misleads-viewers-removing-/
47,false,Mehmet Oz,"""David McCormick paid for attacks on Donald Trump.""",ad,"March 10, 2022",https://www.politifact.com/factchecks/2022/mar/16/mehmet-oz/no-proof-dr-ozs-claim-pa-gop-senate-rival-dave-mcc/
48,false,Facebook posts,"A video shows “massive explosion as Ukraine destroyed 280 Russian tanks to pieces using U.S. Javelin missiles.""",video,"March 12, 2022",https://www.politifact.com/factchecks/2022/mar/16/facebook-posts/video-footage-javelin-missiles-and-explosion-not-u/
49,false,Instagram posts,Members of Congress gave themselves a 21% pay raise,post,"March 14, 2022",https://www.politifact.com/factchecks/2022/mar/16/instagram-posts/claim-false-members-congress-got-pay-raise/
50,false,Tweets,“We haven’t seen a single American megachurch offer anything to help Ukrainians.”,tweet,"March 7, 2022",https://www.politifact.com/factchecks/2022/mar/16/tweets/american-megachurches-are-offering-support-ukraine/
51,false,Tweets,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,tweets,"March 13, 2022",https://www.politifact.com/factchecks/2022/mar/14/tweets/no-zelenskys-hospital-visit-video-doesnt-feature-c/
52,false,Facebook posts,Deceased Ukrainian fighter pilot Col. Oleksandr Oksanchenko was the “Ghost of Kyiv.”,Facebook post,"March 4, 2022",https://www.politifact.com/factchecks/2022/mar/14/facebook-posts/ukraine-recognized-downed-pilot-hero-claims-he-was/
53,false,Tweets,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",tweet,"March 9, 2022",https://www.politifact.com/factchecks/2022/mar/14/tweets/no-document-doesnt-show-secret-ukrainian-military-/
54,false,Bloggers,“Vice President Kamala Harris laughs at the plight of Ukraine; at idea of America offering assistance”,article,"March 10, 2022",https://www.politifact.com/factchecks/2022/mar/14/blog-posting/kamala-harris-did-not-laugh-ukraine-or-idea-us-off/
55,false,Stephen Miller,"""She was asked about gasoline prices ... and she tried to defer to President Duda, the Polish president.""",Fox News show,"March 13, 2022",https://www.politifact.com/factchecks/2022/mar/14/stephen-miller/no-kamala-harris-didnt-defer-polish-president-gas-/
56,false,Viral image,Video shows man mocking police in Germany.,Facebook post,"December 14, 2021",https://www.politifact.com/factchecks/2022/mar/11/viral-image/video-shows-police-france-2019/
57,false,Viral image,This video shows “Russian war in Ukraine.”,Facebook post,"March 7, 2022",https://www.politifact.com/factchecks/2022/mar/11/viral-image/footage-marines-training-arizona-mischaracterized-/
58,false,Facebook posts,Says Leonardo DiCaprio gave Ukraine $10 million.,Facebook post,"March 5, 2022",https://www.politifact.com/factchecks/2022/mar/11/facebook-posts/no-leonardo-dicaprio-didnt-give-10-million-ukraine/
59,false,Facebook posts,"""People who have had cancer in the past, they get the COVID jab and now, they're getting cancer two to three, four months later and it's the same cancer they had except much worse.""",video,"March 9, 2022",https://www.politifact.com/factchecks/2022/mar/11/facebook-posts/no-evidence-covid-19-vaccines-linked-cancer-recurr/
60,false,Mike Pence,"Joe Biden's cancellation of the Keystone pipeline ""dramatically increased Americans' dependence on Russian oil.""",ad from Advancing AmericFreedom,"March 7, 2022",https://www.politifact.com/factchecks/2022/mar/11/mike-pence/mike-pences-group-falsely-blames-bidens-nixing-key/
61,false,Instagram posts,China: U.S. has biological weapons labs in Ukraine.,post,"March 9, 2022",https://www.politifact.com/factchecks/2022/mar/10/instagram-posts/china-repeats-false-claim-us-has-biolabs-ukraine/
62,false,Facebook posts,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",Facebook post,"March 6, 2022",https://www.politifact.com/factchecks/2022/mar/10/facebook-posts/social-media-post-drilling-and-cost-russian-oil-mi/
63,false,Facebook posts,Facebook video shows “counting Biden’s votes at 2 a.m.”,Facebook post,"March 3, 2022",https://www.politifact.com/factchecks/2022/mar/10/facebook-posts/facebook-post-falsely-says-machine-counting-bidens/
64,false,Viral image,A Time magazine cover shows Vladimir Putin with Hitler’s mustache.,Facebook post,"March 2, 2022",https://www.politifact.com/factchecks/2022/mar/10/viral-image/no-isnt-real-time-cover-showing-putin-hitlers-must/
65,false,Viral image,Video shows Volodymr Zelensky singing “Endless Love” with his wife.,Facebook post,"March 8, 2022",https://www.politifact.com/factchecks/2022/mar/10/viral-image/no-isnt-video-zelensky-singing-lionel-ritchie-song/
66,false,Facebook posts,An image shows “Ukrainian soldiers praying.”,post,"March 6, 2022",https://www.politifact.com/factchecks/2022/mar/09/facebook-posts/photo-soldiers-not-current-day-ukraine/
67,false,Facebook posts,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",video,"March 2, 2022",https://www.politifact.com/factchecks/2022/mar/09/facebook-posts/footage-shows-star-wars-aircraft-not-fighting-ukra/
68,false,Facebook posts,"“And just like that, your $15/hr doesn’t buy you as much as $7.50/hr did a year ago.”",Facebook post,"March 4, 2022",https://www.politifact.com/factchecks/2022/mar/09/facebook-posts/no-inflation-has-not-cut-americans-buying-power-ha/
69,false,Facebook posts,"""Gas is high because they shut down production in the U.S.” under the Biden administration.",Facebook post,"March 7, 2022",https://www.politifact.com/factchecks/2022/mar/09/facebook-posts/oil-production-bidens-first-year-par-trump/
70,false,Val Demings,"""Marco Rubio is following his party bosses, like Rick Scott, with his plan to raise taxes on Florida's working families, retirees and veterans.""",ad,"March 6, 2022",https://www.politifact.com/factchecks/2022/mar/09/val-demings/no-proof-val-demings-claim-marco-rubio-backs-tax-h/
71,false,Facebook posts,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,video,"March 6, 2022",https://www.politifact.com/factchecks/2022/mar/09/facebook-posts/video-shows-2019-meeting-north-korean-leader-not-s/
72,false,Facebook posts,Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,Facebook post,"March 6, 2022",https://www.politifact.com/factchecks/2022/mar/07/facebook-posts/fauci-has-regularly-given-interviews-and-appeared-/
73,false,Facebook posts,Ukraine issued a press release about Joe Biden,post,"March 1, 2022",https://www.politifact.com/factchecks/2022/mar/07/facebook-posts/press-conference-was-held-2020-orchestrated-russia/
74,false,Viral image,Gas cost $9 a gallon in California in early March 2022.,Facebook post,"March 4, 2022",https://www.politifact.com/factchecks/2022/mar/07/viral-image/california-gas-prices-are-going-not-9-gallon-early/
75,false,Facebook posts,CDC Director Dr. Rochelle Walensky said she gets COVID-19 reports from CNN.,Facebook post,"March 5, 2022",https://www.politifact.com/factchecks/2022/mar/07/facebook-posts/dr-rochelle-walensky-referenced-cnn-report-2020-sh/
76,false,Facebook posts,"“The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country.”",Facebook post,"February 27, 2022",https://www.politifact.com/factchecks/2022/mar/07/facebook-posts/no-former-ukrainian-beauty-queen-has-not-joined-uk/
77,false,Viral image,Says Vladimir Putin said the West is controlled by Satanic pedophiles.,Facebook post,"February 28, 2022",https://www.politifact.com/factchecks/2022/mar/04/viral-image/no-putin-didnt-say-west-controlled-satanic-pedophi/
78,false,Viral image,Photo shows a Russian tank Ukrainians are selling on eBay.,Facebook post,"March 2, 2022",https://www.politifact.com/factchecks/2022/mar/04/viral-image/no-isnt-photo-russian-tank-sale-ebay/
79,false,Tweets,Video shows Ukrainian crisis actors come to life after pretending to be dead.,tweet,"March 1, 2022",https://www.politifact.com/factchecks/2022/mar/04/tweets/video-climate-change-protest-austria-it-doesnt-sho/
80,false,Facebook posts,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,Facebook post,"February 28, 2022",https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/no-sean-penns-ukraine-trip-isnt-proof-russian-inva/
81,false,Ron DeSantis,Wearing masks is “COVID theater” and “not doing anything.”,press conference,"March 2, 2022",https://www.politifact.com/factchecks/2022/mar/04/ron-desantis/florida-gov-ron-desantis-mischaracterizes-efficacy/
82,false,Facebook posts,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,Facebook post,"February 28, 2022",https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/no-woman-driving-armored-vehicle-isnt-ukrainian-sh/
83,false,Facebook posts,Image shows Ukrainian President Volodymyr Zelensky “has joined the front lines with his troops.”,video,"February 27, 2022",https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/ukrainian-president-not-frontline-military/
84,false,Joe Biden,“I’ve been in and out of Iraq and Afghanistan over 40 times.”,hState of Union address,"March 1, 2022",https://www.politifact.com/factchecks/2022/mar/03/joe-biden/biden-exaggerates-trips-iraq-afghanistan-state-uni/
85,false,Facebook posts,"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”",Facebook post,"February 28, 2022",https://www.politifact.com/factchecks/2022/mar/03/facebook-posts/cnn-clip-russias-military-moves-americas-backyard-/
86,false,Facebook posts,Ukrainians altered this street sign to tell Russian troops to go “f---” themselves.,Facebook post,"February 26, 2022",https://www.politifact.com/factchecks/2022/mar/02/facebook-posts/photo-ukrainian-road-sign-colorful-language-russia/
87,false,Facebook posts,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,Facebook post,"February 26, 2022",https://www.politifact.com/factchecks/2022/mar/02/facebook-posts/these-photos-molotov-cocktails-are-2014-protests-k/
88,false,Facebook posts,"Russia unveiled a nuclear weapon, ""Satan 2,"" that is ""capable of destroying everything breathing in the world.""",post,"February 25, 2022",https://www.politifact.com/factchecks/2022/mar/02/facebook-posts/new-russian-nuke-weapon-dubbed-satan-2-cannot-dest/
89,false,Facebook posts,"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”",post,"February 27, 2022",https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/photo-girl-confronting-soldier-2012-west-bank-not-/
90,false,Facebook posts,A photo of a wounded young child was captured in Ukraine in 2022.,social mediposts,"February 24, 2022",https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/photo-injured-child-syria-2018-not-russia-ukraine-/
91,false,Facebook posts,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,Facebook post,"March 25, 2022",https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/social-posts-mislead-sharing-2017-movie-clip-ukrai/
92,false,Mary Felzkowski,"“Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.”",Public statement,"February 15, 2022",https://www.politifact.com/factchecks/2022/mar/01/mary-felzkowski/no-vaccination-does-not-cause-covid-19-mutate-fast/
93,false,Democratic Senatorial Campaign Committee,Sen. Ron Johnson has been “rewarding companies that outsource to China.”,ad,"January 7, 2022",https://www.politifact.com/factchecks/2022/feb/28/democratic-senatorial-campaign-committee/democratic-groups-false-attack-wis-gop-sen-ron-joh/
94,false,Viral image,A photo showing young children saluting troops was captured in Ukraine in 2022.,social mediposts,"February 25, 2022",https://www.politifact.com/factchecks/2022/feb/28/viral-image/photo-children-sending-ukrainian-troops-2016-not-2/
95,false,Facebook posts,"""It was revealed in court” on Feb. 23, 2022 “that Tory Lanez DNA WAS NOT found on the weapon in the Meg Thee Stallion case.""",post,"February 23, 2022",https://www.politifact.com/factchecks/2022/feb/28/facebook-posts/hearing-did-not-include-dna-evidence-vindicate-rap/
96,false,Facebook posts,Video shows a Ukrainian fighter pilot shooting down a Russian plane.,Facebook post,"February 25, 2022",https://www.politifact.com/factchecks/2022/feb/28/facebook-posts/ghost-kyiv-clip-video-game-not-video-fighting-ukra/
97,false,Joe Rogan,Actor Steven Seagal spotted among Russian special forces in Ukraine,Facebook post,"February 28, 2022",https://www.politifact.com/factchecks/2022/feb/28/joe-rogan/action-star-steven-seagal-friend-putin-not-soldier/
98,false,Donald Trump,"""Hillary Clinton spied on President Trump.""",ad,"February 16, 2022",https://www.politifact.com/factchecks/2022/feb/28/donald-trump/donald-trumps-save-america-pac-falsely-claims-hill/
99,false,Stand Up To China,Build Back Better “would be a huge payday for Chinese manufacturing” and “would fill our streets with cars made with Chinese parts.”,ad,"January 20, 2022",https://www.politifact.com/factchecks/2022/feb/28/stand-china/no-evidence-build-back-better-bill-would-be-financ/
100,false,Greta Neubauer,“Republican leadership has not been clear about whether they support Rep. Ramthun’s illegal and undemocratic resolution” on the 2020 election.,Twitter,"February 21, 2022",https://www.politifact.com/factchecks/2022/feb/28/greta-neubauer/republican-leaders-have-made-clear-they-dont-think/
101,false,TikTok posts,A 2022 video shows “Ukrainian and Russian soldiers face to face.”,posts,"February 25, 2022",https://www.politifact.com/factchecks/2022/feb/25/tiktok-posts/video-standoff-between-soldiers-ukraine-2014/
102,false,Facebook posts,"""Bill Gates hatches 'horribly stupid' plan to block out the sun""",article,"February 21, 2022",https://www.politifact.com/factchecks/2022/feb/25/facebook-posts/claim-bill-gates-scheming-block-sun-wrong/
103,false,Tweets,Photo shows Empire State Building lit up to support Ukraine.,tweet,"February 23, 2022",https://www.politifact.com/factchecks/2022/feb/25/tweets/old-photo-empire-state-building-unrelated-ukraine-/
104,false,TikTok posts,TikTok video shows Russian soldiers parachuting into Ukraine.,TikTok video,"February 24, 2022",https://www.politifact.com/factchecks/2022/feb/25/tiktok-posts/no-tiktok-does-not-show-russian-soldiers-invading-/
105,false,Tweets,Russia is targeting U.S. biological weapons labs in Ukraine invasion.,tweet,"February 24, 2022",https://www.politifact.com/factchecks/2022/feb/25/tweets/there-are-no-us-run-biolabs-ukraine-contrary-socia/
106,false,Vladimir Putin,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,address to nation announcing attack,"February 24, 2022",https://www.politifact.com/factchecks/2022/feb/25/vladimir-putin/putin-repeats-long-running-claim-genocide-ukraine/
107,false,Viral image,Video shows footage from Russia invading Ukraine.,Facebook post,"February 24, 2022",https://www.politifact.com/factchecks/2022/feb/25/viral-image/old-footage-russian-planes-mischaracterized-amid-n/
108,false,Viral image,A photo shows a Russian warplane under attack.,Facebook post,"February 24, 2022",https://www.politifact.com/factchecks/2022/feb/24/viral-image/no-isnt-photo-russian-plane-under-attack-ukraine/
109,false,Facebook posts,"This ""footage"" shows Russia attacking Ukraine.",Facebook post,"February 24, 2022",https://www.politifact.com/factchecks/2022/feb/24/facebook-posts/these-video-clips-do-not-show-russias-attack-ukrai/
110,false,Facebook posts,“News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.”,Facebook post,"February 21, 2022",https://www.politifact.com/factchecks/2022/feb/24/facebook-posts/no-news-report-didnt-reveal-doctors-gave-queen-eli/
111,false,Facebook posts,Says CNN reported Queen Elizabeth II died.,Facebook post,"February 22, 2022",https://www.politifact.com/factchecks/2022/feb/23/facebook-posts/no-cnn-didnt-report-queen-elizabeth-ii-died/
112,false,Facebook posts,"Says Thomas Jefferson said, “If serving in an elected office ever becomes a career, corruption will surely follow.”",Facebook posts,"February 8, 2021",https://www.politifact.com/factchecks/2022/feb/23/facebook-posts/no-thomas-jefferson-did-not-say-about-career-polit/
113,false,Instagram posts,The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests.,Instagram post,"February 17, 2022",https://www.politifact.com/factchecks/2022/feb/23/instagram-posts/no-cdc-not-collecting-human-dna-covid-19-pcr-tests/
114,false,Marjorie Taylor Greene,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",talk before rally,"February 19, 2022",https://www.politifact.com/factchecks/2022/feb/22/marjorie-taylor-greene/marjorie-taylor-greene-falsely-claims-ukraine-was-/
115,false,Instagram posts,"""Trudeau's foundation owns 40% of Acuitas Therapeutics which makes mechanic lipids for Pfizer.""",post,"February 18, 2022",https://www.politifact.com/factchecks/2022/feb/22/instagram-posts/trudeau-foundation-does-not-own-stock-company-invo/
116,false,Facebook posts,Video shows man diving off a high bridge and into a swimming pool on a moving boat.,post,"February 18, 2022",https://www.politifact.com/factchecks/2022/feb/22/facebook-posts/video-showing-man-diving-pool-moving-boat-used-spe/
117,false,Facebook posts,"""Ottawa may euthanize truckers’ pets as punishment.”",Facebook post,"February 20, 2022",https://www.politifact.com/factchecks/2022/feb/22/facebook-posts/no-ottawa-didnt-threaten-punish-protesters-killing/
118,false,Facebook posts,"This photo shows ""headache treatments in 1890s known as vibration therapy.""",post,"February 19, 2022",https://www.politifact.com/factchecks/2022/feb/21/facebook-posts/vibration-therapy-real-does-not-look-photo/
119,false,Rick Scott,"""The latest with the Durham report is that the Clinton campaign … actually spied on the president of the United States.”",statement to reporters,"February 15, 2022",https://www.politifact.com/factchecks/2022/feb/21/rick-scott/durham-filing-scott-exaggerates-proof-clinton-camp/
120,false,Viral image,Video shows that Sûreté du Québec officers “removed their identifying names and badge numbers from their uniforms in Ottawa.”,Facebook post,"February 19, 2022",https://www.politifact.com/factchecks/2022/feb/21/viral-image/canadian-police-badge-numbers-appeared-helmets-ott/
